Primary Clustering,,,Second Clustering,,,Comparison Values,,,Graph Tables,
Cluster 0,,,Cluster 0,,,Comparison Values,,,Primary Cluster 0 Table,
"PARKER, D.",na,,"Hermans, T.","[0, 0, 0, 0, 0, 0]",,,,,5,0,
,,,"Jones, B.","[0, 0, 0, 0, 0, 0]",
Cluster 3,,,"Young, R.","[0, 0, 0, 0, 0, 0]",,,,,Primary Cluster 2 Table,
"HENDERSON, T. C.",The long range goals of my research are to contribute to the understanding of human intelligence and to participate in the development of intelligent machine systems.,,"LI, F.","[0, 0, 0, 0, 0, 0]",,,,,Secondary Cluster Index,Count,
,,,"Cardona-Rivera, R.","[0, 0, 0, 0, 0, 0]",,,,,0,0,
Cluster 4,,,,,,,,,1,0,
"HALL, M. W.","""Our research focuses on compiler-based approaches to obtaining high performance on state-of-the-art and experimental architectures, including multi-cores""",,Cluster 2,,,,,,2,0,
,,,"GOPALAKRISHNAN, G.","[559, 561, 332, 163, 137, 194]",,,,,3,2,
Cluster 5,,,"HALL, M. W.","[302, 239, 158, 103, 116, 172]",,,,,4,0,
"RILOFF, E. M.","""Natural language processing, information retrieval, and artificial intelligence""",,"COHEN, E.","[347, 344, 205, 123, 106, 203]",,,,,5,0,
"SRIKUMAR, V.",Machine Learning; Natural Language Processing,
"DE ST GERMAIN, H. J.","""Reverse Engineering and Constraint Optimization, Artificial Intelligence, technological aids for education""",,Cluster 3,,,,,,Primary Cluster 3 Table,
"Young, R.","""Artificial Intelligence, Video games, Interactive narrative""",,"WHITAKER, R. T.","[244, 71, 3, 0, 0, 13]",,,,,Secondary Cluster Index,Count,
"Cardona-Rivera, R.","""Computational psychology, artificial intelligence, game design, interactive narrative""",,"STUTSMAN, R.","[758, 141, 16, 1, 0, 14]",,,,,0,1,
,,,"KAVAN, L.","[241, 109, 22, 3, 1, 0]",,,,,1,0,
Cluster 6,,,"PHILLIPS, J.","[1255, 562, 131, 31, 16, 56]",,,,,2,0,
"KAVAN, L.",Computer graphics and animation.,,"RILOFF, E. M.","[762, 343, 77, 30, 8, 3]",,,,,3,0,
"YUKSEL, C.","""Computer Graphics -- physically-based simulation, image synthesis, GPU algorithms.""",,"KASERA, S. K.","[502, 227, 24, 8, 7, 7]",,,,,4,0,
"COHEN, E.","""Problems in modeling, graphics, and visualization which require geometric computation and analysis.""",,"SRIKUMAR, V.","[1593, 585, 89, 33, 19, 59]",,,,,5,0,
"KOPTA, D. M.","""Ray tracing, computer graphics, computer architecture""",,"JENSEN, P. A.","[3737, 1372, 314, 142, 39, 79]",
"Jones, B.","""Computer graphics, physical simulation""",,"REGEHR, J.","[691, 293, 70, 12, 3, 6]",,,,,Primary Cluster 4 Table,
,,,"VAN DER MERWE, J. E.","[1238, 510, 135, 57, 16, 21]",,,,,Secondary Cluster Index,Count,
Cluster 7,,,"FLATT, M.","[2207, 474, 70, 9, 3, 40]",,,,,0,0,
"DENNING, T.","""Security and Privacy, Human-Centric Computing""",,"ZACHARY, J. L.","[6443, 2632, 568, 126, 118, 123]",,,,,1,0,
"VAN DER MERWE, J. E.","""Networking systems research including network management, control and operation, mobile networking, network evolution, network security and cloud computing.""",,"BRUNVAND, E. L.","[318, 156, 35, 6, 0, 2]",,,,,2,1,
"KASERA, S. K.","""Networks and systems - technologies, protocols and applications encompassing mobile and pervasive systems and wireless networks, network security and reliability""",,"VENKATASUBRAMANIAN, S.","[1041, 437, 156, 44, 29, 27]",,,,,3,0,
,,,"KOPTA, D. M.","[1952, 790, 152, 28, 5, 21]",,,,,4,0,
Cluster 8,,,"PARKER, D.","[3068, 1461, 470, 144, 162, 268]",,,,,5,0,
"BRUNVAND, E. L.",Computer architecture and VLSI systems,
,,,Cluster 4,,,,,,Primary Cluster 5 Table,
Cluster 9,,,"DE ST GERMAIN, H. J.","[2877, 2100, 604, 179, 119, 154]",,,,,Secondary Cluster Index,Count,
"BROWN, S. M.",Chemical Sensors; Neural Interfaces; Electronic Circuit Clocking; Circuit Design; High Performance Microprocessors; Mixed Signal Microprocessors; Biomedical Implants.,,"HOLLERBACH, J. M.","[290, 217, 66, 20, 25, 23]",,,,,0,0,
"Bojnordi, M.","""Computer architecture, new memory technologies, high-performance memory systems, and energy-efficient computing.""",,"JOHNSON, D. E.","[3779, 2278, 467, 82, 94, 111]",,,,,1,2,
,,,,,,,,,2,0,
Cluster 10,,,Cluster 5,,,,,,3,2,
"LI, F.","""Database systems and large-scale data management systems for various data sources, formats, applications, and data processing environments. Security issues in data management.""",,"WIESE, J.","[112, 114, 40, 21, 18, 34]",,,,,4,1,
"PHILLIPS, J.","""Algorithms for Data Analytics: Handling Uncertainty, Computational Geometry, Data Mining, Machine Learning, Computational Statistics, Databases""",,"KIRBY II, R. M.","[240, 304, 144, 76, 60, 59]",,,,,5,0,
"Ramalingam, S.","""Computer Vision, Machine Learning, Robotics (Autonomous Driving applications), and Discrete Optimization""",
"ZHE, S.","""Probabilistic graphical models, Bayesian nonparametric, approximate inference, Bayesian deep learning, sparse learning, large-scale machine learning and kernel methods.""",,,,,,,,Primary Cluster 6 Table,
"BHASKARA, A.",Theoretical computer science and machine learning.,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,1,
Cluster 11,,,,,,,,,1,1,
"HANSEN, C. D.","""Visualization, computer graphics, parallel computation, computer vision""",,,,,,,,2,1,
,,,,,,,,,3,2,
Cluster 12,,,,,,,,,4,0,
"FLATT, M.",Practical and theoretical aspects of programming languages and programming environments.,,,,,,,,5,0,

Cluster 13,,,,,,,,,Primary Cluster 7 Table,
"WHITAKER, R. T.","""Image processing, medical image analysis, data analysis and visualization, geometry processing""",,,,,,,,Secondary Cluster Index,Count,
"KIRBY II, R. M.",Scientific computing and visualization,,,,,,,,0,1,
"SUNDAR, H.",Parallel algorithms; scientific computing; inverse problems; soft tissue and cardiovascular mechanics; image analysis,,,,,,,,1,0,
"JOHNSON, C. R.",Scientific Computing and Visualization,,,,,,,,2,0,
,,,,,,,,,3,2,
Cluster 14,,,,,,,,,4,0,
"WIESE, J.","""Personal data, HCI""",,,,,,,,5,0,

,,,,,,,,,Primary Cluster 8 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,0,
,,,,,,,,,1,0,
,,,,,,,,,2,0,
,,,,,,,,,3,1,
,,,,,,,,,4,0,
,,,,,,,,,5,0,

,,,,,,,,,Primary Cluster 9 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,0,
,,,,,,,,,1,2,
,,,,,,,,,2,0,
,,,,,,,,,3,0,
,,,,,,,,,4,0,
,,,,,,,,,5,0,

,,,,,,,,,Primary Cluster 10 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,1,
,,,,,,,,,1,3,
,,,,,,,,,2,0,
,,,,,,,,,3,1,
,,,,,,,,,4,0,
,,,,,,,,,5,0,

,,,,,,,,,Primary Cluster 11 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,1,
,,,,,,,,,1,0,
,,,,,,,,,2,0,
,,,,,,,,,3,0,
,,,,,,,,,4,0,
,,,,,,,,,5,0,

,,,,,,,,,Primary Cluster 12 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,0,
,,,,,,,,,1,0,
,,,,,,,,,2,0,
,,,,,,,,,3,1,
,,,,,,,,,4,0,
,,,,,,,,,5,0,

,,,,,,,,,Primary Cluster 13 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,1,
,,,,,,,,,1,1,
,,,,,,,,,2,0,
,,,,,,,,,3,1,
,,,,,,,,,4,0,
,,,,,,,,,5,1,

,,,,,,,,,Primary Cluster 14 Table,
,,,,,,,,,Secondary Cluster Index,Count,
,,,,,,,,,0,0,
,,,,,,,,,1,0,
,,,,,,,,,2,0,
,,,,,,,,,3,0,
,,,,,,,,,4,0,
,,,,,,,,,5,1,
